District,Candidate,Party,Votes
Afzalpur,MALIKAYYA VENKAYYA GUTTEDAR,Indian National Congress,38093
Afzalpur,M.Y.PATIL,Karnataka Jantha Paksha,32855
Afzalpur,VITTHAL HEROOR,Janata Dal  (Secular),22847
Afzalpur,GOVIND VISHWANATH BHAT,Samajwadi Party,14648
Afzalpur,DILIP R. PATIL,Bharatiya Janata Party,10347
Afzalpur,MALLAPPA M. SOLAPUR,Independent,1829
Afzalpur,SHRISHAIL SIDRAMAPPA KALKERI,Independent,1364
Afzalpur,SOMSHEKHAR J. DESHMUKH,Independent,1171
Afzalpur,HUCHAPPA VATHAR GOUR,Bahujan Samaj Party,1039
Afzalpur,VIKRAM BHAT,Independent,917
Afzalpur,SIDRAMAPPA,Independent,825
Afzalpur,SHARANABASAPPA S. KALSHETTY,Independent,780
Afzalpur,M.S.PATIL,Independent,682
Afzalpur,CHANDRASHEKAR N. KARAJAGI,Independent,631
Afzalpur,BASHA PATEL HASARGUNDAGI,Badavara Shramikara Raitara Congress Party,583
Aland,BHOJARAJ   RAMCHANDRA,Karnataka Jantha Paksha,67085
Aland,SUBHASH RUKMAIAH,Janata Dal  (Secular),49971
Aland,SIDDANNA,Indian National Congress,3912
Aland,SHANKAR RAO,Independent,2239
Aland,PAVADSHETY BASAVARAJ,Bharatiya Janata Party,2144
Aland,BABURAO,Independent,1865
Aland,DATTAPPA,Rashtriya Samaj Paksha,1336
Aland,UDAYAKUMAR,Badavara Shramikara Raitara Congress Party,835
Aland,KHANDE RAO,Samajwadi Party,812
Aland,SIDDRAMAPPA,Independent,734
Aland,ZAHEER,Independent,516
Aland,RAMCHANDRA,Bahujan Samaj Party,505
Aland,SHIVANAND,Nationalist Congress Party,431
Anekal,SHIVANNA B.,Indian National Congress,105464
Anekal,A. NARAYANASWAMY,Bharatiya Janata Party,65282
Anekal,ANEKAL KESHAVA,Janata Dal  (Secular),7307
Anekal,R. KRISHNAMURTHY,Karnataka Jantha Paksha,2369
Anekal,D. MAHADESH,Communist Party of India  (Marxist),1923
Anekal,SRINIVASA P.,Bahujan Samaj Party,1365
Anekal,A. NARAYANASWAMY,Independent,1000
Anekal,MANJUNATHA,Badavara Shramikara Raitara Congress Party,885
Anekal,SUKUNDHA V.,Karnataka Rajya Ryota Sangha,436
Anekal,GOPINATHA G.M.,Independent,430
Arabhavi,BALACHANDRA LAXMANRAO JARKIHOLI,Bharatiya Janata Party,99283
Arabhavi,UTAGI RAMAPPA KAREPPA,Indian National Congress,24062
Arabhavi,LATUR SURESH MAHALINGAPPA,Karnataka Jantha Paksha,11445
Arabhavi,GURAPPA KALLAPPA HITTANAGI,Janata Dal  (Secular),3081
Arabhavi,GURUPUTRA KEMPANNA KULLUR,Independent,2012
Arabhavi,GOUDAR SHIVANAGOUDA NINGAPPA,Sarvodaya Karnataka Paksha,1527
Arabhavi,MAHANTAPPA SABANNA GOUDAR,Independent,1388
Arabhavi,BASAVANTH IRAPPA VADER,Bahujan Samaj Party,910
Arabhavi,BASAVARAJ BASAVANTAPPA B PATIL,Badavara Shramikara Raitara Congress Party,697
Arabhavi,HANAJI ASHOK PANDAPPA,Sarva Janata Party,694
Arkalgud,MANJU A,Indian National Congress,61369
Arkalgud,A.T RAMASWAMY,Janata Dal  (Secular),52575
Arkalgud,H. YOGARAMESHA,Independent,32477
Arkalgud,S. PUTTASWAMY,Karnataka Jantha Paksha,12259
Arkalgud,K.K YOGESHAPPA,Independent,2789
Arkalgud,B.C RAJESH,Bahujan Samaj Party,2774
Arkalgud,M.K NATARAJ,Bharatiya Janata Party,1775
Arkalgud,H.S YOGESHA,Independent,1021
Arkalgud,SHIVAKUMAR G A,Samajwadi Janata Party(Karnataka),842
Arkalgud,MANJUNATHA,Bharatiya Dr. B.R.Ambedkar Janta Party,819
Arkalgud,K.B YOGEGOWDA,Independent,713
Arkalgud,RAJASHEKHARA,Janata Dal  (United),444
Arkalgud,G.S MURALIDHARA,Badavara Shramikara Raitara Congress Party,405
Arsikere,K.M.SHIVALINGE GOWDA,Janata Dal  (Secular),76579
Arsikere,B.SHIVARAMU,Indian National Congress,46948
Arsikere,DR: LOKESH D.G,Karnataka Jantha Paksha,26312
Arsikere,D.B.GANGADHAR DUMMENAHALLI,Bharatiya Janata Party,2464
Arsikere,GANGADHARAPPA,Independent,1557
Arsikere,KUMARA BHOVI,Bharatiya Dr. B.R.Ambedkar Janta Party,1335
Arsikere,JAYANNA,Badavara Shramikara Raitara Congress Party,1244
Arsikere,N.P.RAJENDRAPRASAD,Hindusthan Nirman Dal,745
Arsikere,B.K.SOMASHEKAR,Janata Dal  (United),605
Arsikere,T.M.CHANDRASHEKARAIAH (DEVARAJ THIRUPATHIHALLI),Bahujan Samaj Party,561
Arsikere,AUTO RAVI (BONDA),Independent,519
Athani,LAXMAN SANGAPPA SAVADI,Bharatiya Janata Party,74299
Athani,MAHESH IRANAGOUDA KUMATHALLI,Indian National Congress,50528
Athani,SADASHIV KEDARI BUTALI,Janata Dal  (Secular),15204
Athani,SANGANAGOUD GURUPADAGOUD PATIL,Karnataka Jantha Paksha,1580
Athani,ANNAPPA SOMANNA AIGALI,Bahujan Samaj Party,1558
Athani,RATNAVVA VITTAL TATRI URF PUJARI,Independent,841
Athani,SHIKHANDHAR HAJISAB MULLA,Badavara Shramikara Raitara Congress Party,750
Athani,VASANT YAMANAPPA DALAWAI,Lok Satta Party,581
Athani,BASAVARAJ IRAPPA AWATI,Independent,507
Athani,GURUNATH BALU BHORI,Nationalist Congress Party,442
Aurad,PRABHU B. CHAVAN,Bharatiya Janata Party,61826
Aurad,DHANAJI BHEEMA JADHAV,Karnataka Jantha Paksha,38635
Aurad,GAIKAWAD VIJAYKUMAR,Indian National Congress,15456
Aurad,G.M. YATNOOR,Janata Dal  (Secular),4892
Aurad,ROOPCHAND RATHOD,Nationalist Congress Party,1225
